{'股票名称': 'RC001202001'}
{'股票名称': 'R004201010'}
{'股票名称': 'R028201003'}
{'股票名称': '0512R028203041'}
{'股票名称': '0504R028203017'}
{'股票名称': 'GC004204004'}
{'最高': '100.00', '最低': '99.99', '今开': '100.00', '昨收': '100.00', '成交额': '83.03万', '成交量': '83手', '净值': '--', '折价率': '--', '股票名称': '嘉实快线511960'}
{'今开': '112.88', '成交量': '3.49万手', '最高': '114.00', '涨停': '125.20', '内盘': '1.76万手', '成交额': '3.93亿', '委比': '21.84%', '流通市值': '138.11亿', '市盈率<sup>MRQ</sup>': '35.75', '每股收益': '2.38', '总股本': '12.16亿', '昨收': '113.82', '换手率': '2.87%', '最低': '111.75', '跌停': '102.44', '外盘': '1.74万手', '振幅': '1.98%', '量比': '--', '总市值': '1380.78亿', '市净率': '14.49', '每股净资产': '7.84', '流通股本': '1.22亿', '股票名称': '迈瑞医疗300760'}
{'今开': '21.48', '成交量': '9680手', '最高': '21.48', '涨停': '21.48', '内盘': '9680手', '成交额': '2079.27万', '委比': '100.00%', '流通市值': '14.10亿', '市盈率<sup>MRQ</sup>': '45.87', '每股收益': '0.39', '总股本': '6.56亿', '昨收': '19.53', '换手率': '1.47%', '最低': '21.48', '跌停': '17.58', '外盘': '--', '振幅': '--', '量比': '--', '总市值': '140.97亿', '市净率': '5.70', '每股净资产': '3.77', '流通股本': '6563.00万', '股票名称': '康龙化成300759'}
{'今开': '--', '成交量': '--', '最高': '--', '涨停': '24.30', '内盘': '--', '成交额': '--', '委比': '--', '流通市值': '5.89亿', '市盈率<sup>MRQ</sup>': '20.57', '每股收益': '1.07', '总股本': '1.07亿', '昨收': '22.09', '换手率': '--', '最低': '--', '跌停': '19.88', '外盘': '--', '振幅': '--', '量比': '--', '总市值': '23.57亿', '市净率': '3.57', '每股净资产': '6.20', '流通股本': '2668.00万', '股票名称': '七彩化学300758'}
{'今开': '74.61', '成交量': '4.93万手', '最高': '76.49', '涨停': '82.06', '内盘': '2.30万手', '成交额': '3.71亿', '委比': '92.81%', '流通市值': '15.20亿', '市盈率<sup>MRQ</sup>': '71.35', '每股收益': '1.06', '总股本': '8000.00万', '昨收': '74.60', '换手率': '24.63%', '最低': '73.89', '跌停': '67.14', '外盘': '2.62万手', '振幅': '3.49%', '量比': '--', '总市值': '60.78亿', '市净率': '16.07', '每股净资产': '4.73', '流通股本': '2000.00万', '股票名称': '罗博特科300757'}
{'今开': '90.50', '成交量': '1.39万手', '最高': '91.79', '涨停': '99.90', '内盘': '6675手', '成交额': '1.27亿', '委比': '23.59%', '流通市值': '9.08亿', '市盈率<sup>MRQ</sup>': '28.79', '每股收益': '3.15', '总股本': '4000.00万', '昨收': '90.82', '换手率': '13.94%', '最低': '89.80', '跌停': '81.74', '外盘': '7259手', '振幅': '2.19%', '量比': '--', '总市值': '36.31亿', '市净率': '5.23', '每股净资产': '17.36', '流通股本': '1000.00万', '股票名称': '中山金马300756'}
{'今开': '35.62', '成交量': '9562手', '最高': '36.41', '涨停': '39.07', '内盘': '5079手', '成交额': '3447.48万', '委比': '28.62%', '流通市值': '5.97亿', '市盈率<sup>MRQ</sup>': '69.08', '每股收益': '0.39', '总股本': '6543.80万', '昨收': '35.52', '换手率': '5.80%', '最低': '35.56', '跌停': '31.97', '外盘': '4483手', '振幅': '2.39%', '量比': '--', '总市值': '23.68亿', '市净率': '6.24', '每股净资产': '5.80', '流通股本': '1650.00万', '股票名称': '天地数码300743'}
{'今开': '39.08', '成交量': '1.48万手', '最高': '40.30', '涨停': '42.99', '内盘': '6410手', '成交额': '5878.17万', '委比': '24.89%', '流通市值': '43.76亿', '市盈率<sup>MRQ</sup>': '60.15', '每股收益': '0.50', '总股本': '3.55亿', '昨收': '39.08', '换手率': '1.36%', '最低': '38.84', '跌停': '35.17', '外盘': '8429手', '振幅': '3.74%', '量比': '--', '总市值': '142.19亿', '市净率': '8.28', '每股净资产': '4.84', '流通股本': '1.09亿', '股票名称': '越博动力300742'}
{'今开': '15.30', '成交量': '4.19万手', '最高': '15.58', '涨停': '16.80', '内盘': '1.86万手', '成交额': '6459.21万', '委比': '60.34%', '流通市值': '328.83亿', '市盈率<sup>MRQ</sup>': '9.84', '每股收益': '1.18', '总股本': '21.49亿', '昨收': '15.27', '换手率': '0.20%', '最低': '15.23', '跌停': '13.74', '外盘': '2.33万手', '振幅': '2.29%', '量比': '--', '总市值': '333.04亿', '市净率': '2.13', '每股净资产': '7.28', '流通股本': '21.21亿', '股票名称': '御家汇300740'}
{'今开': '20.62', '成交量': '7.81万手', '最高': '22.68', '涨停': '22.68', '内盘': '3.59万手', '成交额': '1.67亿', '委比': '24.06%', '流通市值': '10.00亿', '市盈率<sup>MRQ</sup>': '31.52', '每股收益': '0.51', '总股本': '1.85亿', '昨收': '20.62', '换手率': '16.90%', '最低': '20.42', '跌停': '18.56', '外盘': '4.22万手', '振幅': '10.96%', '量比': '--', '总市值': '39.99亿', '市净率': '3.26', '每股净资产': '6.64', '流通股本': '4620.00万', '股票名称': '明阳电路300739'}
{'今开': '37.46', '成交量': '8749手', '最高': '38.26', '涨停': '41.03', '内盘': '3727手', '成交额': '3313.55万', '委比': '53.35%', '流通市值': '13.34亿', '市盈率<sup>MRQ</sup>': '45.91', '每股收益': '0.62', '总股本': '6526.60万', '昨收': '37.30', '换手率': '2.50%', '最低': '37.10', '跌停': '33.57', '外盘': '5021手', '振幅': '3.11%', '量比': '--', '总市值': '24.92亿', '市净率': '4.49', '每股净资产': '8.50', '流通股本': '3494.60万', '股票名称': '奥飞数据300738'}
{'今开': '8.15', '成交量': '4.11万手', '最高': '8.30', '涨停': '8.97', '内盘': '1.99万手', '成交额': '3382.41万', '委比': '17.73%', '流通市值': '22.76亿', '市盈率<sup>MRQ</sup>': '23.47', '每股收益': '0.26', '总股本': '6.11亿', '昨收': '8.15', '换手率': '1.50%', '最低': '8.11', '跌停': '7.33', '外盘': '2.12万手', '振幅': '2.33%', '量比': '--', '总市值': '50.62亿', '市净率': '1.76', '每股净资产': '4.72', '流通股本': '2.74亿', '股票名称': '科顺股份300737'}
